
Epoch:   0%|                                                                                                                   | 0/5 [00:00<?, ?it/s]
0 0 	| 2.9449 	| 0.0938 	| tensor([13,  1, 14,  7,  7, 13, 10, 10,  7, 11], device='cuda:0')
0 1 	| 2.7757 	| 0.0625 	| tensor([13,  8,  5,  4,  8,  5,  6,  1,  5,  6], device='cuda:0')
0 2 	| 2.6617 	| 0.3125 	| tensor([ 3,  5, 14,  4, 13,  8, 11, 13, 11, 11], device='cuda:0')
0 3 	| 2.7503 	| 0.125 	| tensor([13, 14,  8,  4,  8,  0, 11,  6,  2,  4], device='cuda:0')
0 4 	| 2.6839 	| 0.0938 	| tensor([ 7, 11,  5,  4,  5, 13, 11, 12, 11,  7], device='cuda:0')
0 5 	| 2.2606 	| 0.3125 	| tensor([ 1,  5, 13,  9, 14,  4,  6,  4, 11,  0], device='cuda:0')
0 6 	| 2.4594 	| 0.1875 	| tensor([ 0,  1,  3,  4, 14, 14,  4,  0, 11,  2], device='cuda:0')
0 7 	| 2.4552 	| 0.1562 	| tensor([14, 14, 11, 14,  7,  2, 14,  2, 11, 10], device='cuda:0')
0 8 	| 2.3207 	| 0.2188 	| tensor([ 0, 10,  6,  5, 14, 14,  2,  2, 13,  5], device='cuda:0')
0 9 	| 2.1334 	| 0.2188 	| tensor([ 8,  9, 12, 12,  2, 12,  9,  5,  8,  6], device='cuda:0')
0 10 	| 2.1598 	| 0.25 	| tensor([ 8, 12,  9,  7,  1,  9, 11,  9,  2,  8], device='cuda:0')
0 11 	| 2.1924 	| 0.3125 	| tensor([11,  7, 11, 13,  0,  0,  9,  6,  6,  1], device='cuda:0')
0 12 	| 2.016 	| 0.375 	| tensor([ 5, 13,  9, 13,  0,  4,  1,  7,  5,  5], device='cuda:0')
0 13 	| 2.3579 	| 0.1875 	| tensor([ 9,  5, 11, 11,  7, 10,  0,  1, 11,  7], device='cuda:0')
0 14 	| 2.3148 	| 0.25 	| tensor([ 2, 10,  5, 12,  5, 11,  9,  9,  9, 13], device='cuda:0')
0 15 	| 1.9045 	| 0.3438 	| tensor([ 2,  2, 11,  0,  9,  5, 13, 14,  5, 10], device='cuda:0')
0 16 	| 1.8625 	| 0.3438 	| tensor([11,  2,  5,  2,  9, 11, 11,  0,  6,  0], device='cuda:0')
0 17 	| 1.8386 	| 0.3125 	| tensor([13, 10,  7,  5,  5,  9,  4,  9,  9,  4], device='cuda:0')
0 18 	| 2.3041 	| 0.25 	| tensor([13,  8,  5, 11, 11, 11,  0,  5, 13,  0], device='cuda:0')
0 19 	| 1.9359 	| 0.2812 	| tensor([11, 11,  9,  5, 12, 14, 10, 12,  9,  7], device='cuda:0')
0 20 	| 2.3185 	| 0.1875 	| tensor([ 8, 14, 10, 11,  0,  5, 10, 11, 10,  3], device='cuda:0')
0 21 	| 2.5669 	| 0.2188 	| tensor([14, 14,  6,  0, 13, 11, 10, 13,  2,  2], device='cuda:0')
0 22 	| 1.982 	| 0.375 	| tensor([ 5, 10,  0,  0,  5, 13,  5, 11, 10, 14], device='cuda:0')
0 23 	| 2.0896 	| 0.2812 	| tensor([11, 14,  7,  7,  0, 11,  9, 14, 13, 11], device='cuda:0')
0 24 	| 2.6518 	| 0.1875 	| tensor([ 5, 10,  7,  2, 11, 11,  2,  7,  0,  8], device='cuda:0')
0 25 	| 2.2458 	| 0.2812 	| tensor([11,  7,  0,  7, 10,  2,  2,  9,  0,  2], device='cuda:0')
0 26 	| 1.8457 	| 0.5 	| tensor([12,  9,  9, 12,  0, 11,  7,  6,  7,  9], device='cuda:0')
0 27 	| 1.9606 	| 0.4062 	| tensor([ 7,  0,  5,  7,  6,  7, 14, 13,  7,  5], device='cuda:0')
0 28 	| 2.12 	| 0.3438 	| tensor([ 0, 13,  1,  5, 10,  7, 14,  2, 13,  0], device='cuda:0')
0 29 	| 2.1533 	| 0.3125 	| tensor([11,  4,  7, 13, 14, 14,  6,  2,  9,  9], device='cuda:0')
0 30 	| 1.994 	| 0.25 	| tensor([ 2, 11,  7, 14,  3,  2,  2,  0,  2, 10], device='cuda:0')
0 31 	| 2.0464 	| 0.3125 	| tensor([12,  2,  2,  2,  2,  7,  5, 11,  4,  0], device='cuda:0')
0 32 	| 2.2088 	| 0.4062 	| tensor([ 6,  3,  3, 11, 14,  1, 13,  5,  5, 13], device='cuda:0')
0 33 	| 2.2626 	| 0.3125 	| tensor([11,  2,  8, 14,  3, 11, 11,  0,  0, 13], device='cuda:0')
0 34 	| 2.2676 	| 0.1562 	| tensor([14,  0,  1,  9,  9, 13,  8,  9, 11,  5], device='cuda:0')
0 35 	| 2.0561 	| 0.3438 	| tensor([13,  8,  1,  1, 13,  6,  6,  7,  0,  5], device='cuda:0')
0 36 	| 1.5435 	| 0.4062 	| tensor([10, 14, 11, 12, 13,  7,  7, 13, 14,  9], device='cuda:0')
0 37 	| 2.1132 	| 0.2812 	| tensor([ 1,  0,  2,  1, 13,  6,  1,  5, 14,  9], device='cuda:0')
0 38 	| 2.2099 	| 0.2812 	| tensor([ 5,  6, 13,  1,  5,  9,  5,  4, 12,  5], device='cuda:0')
0 39 	| 1.7228 	| 0.3125 	| tensor([ 5, 12, 10,  5,  5,  4,  5,  0,  0,  7], device='cuda:0')
0 40 	| 2.3554 	| 0.2812 	| tensor([ 5,  4, 12,  1,  5, 13,  6,  5,  1,  4], device='cuda:0')
0 41 	| 2.128 	| 0.2812 	| tensor([ 8,  0,  8,  2,  2,  4,  8,  5, 13, 13], device='cuda:0')
0 42 	| 2.3683 	| 0.3438 	| tensor([14,  1,  8,  0, 14,  8, 12,  0,  5,  5], device='cuda:0')
0 43 	| 2.1802 	| 0.3125 	| tensor([ 4,  1,  8,  0,  2,  1,  8, 13,  8, 13], device='cuda:0')
0 44 	| 1.9757 	| 0.375 	| tensor([14, 11,  5, 12, 13, 10, 14, 12, 14, 12], device='cuda:0')
0 45 	| 2.0345 	| 0.2812 	| tensor([11,  2, 11, 14, 11,  7,  5,  1, 12, 10], device='cuda:0')
0 46 	| 2.0252 	| 0.375 	| tensor([10,  7,  4,  0, 14, 11,  7, 14, 11,  0], device='cuda:0')
0 47 	| 2.1805 	| 0.4375 	| tensor([ 0, 12,  7, 14, 10,  6,  4, 14, 12, 11], device='cuda:0')
0 48 	| 2.0686 	| 0.375 	| tensor([10,  0, 14,  4,  8,  6,  7,  8,  7, 11], device='cuda:0')
0 49 	| 1.7268 	| 0.4688 	| tensor([ 0, 14,  4,  4,  4,  7, 10, 13,  4, 14], device='cuda:0')
0 50 	| 2.1396 	| 0.4375 	| tensor([13,  7,  8, 13, 11, 11, 14,  0,  8,  7], device='cuda:0')
0 51 	| 2.0262 	| 0.4688 	| tensor([14, 14,  6, 10,  9,  4, 14,  8,  8, 14], device='cuda:0')
0 52 	| 2.3746 	| 0.3438 	| tensor([11,  0, 10,  9, 11, 13,  2,  8, 11, 11], device='cuda:0')
0 53 	| 2.0228 	| 0.375 	| tensor([13, 11,  7,  8,  6, 11,  8,  7,  0,  4], device='cuda:0')
0 54 	| 2.1846 	| 0.3438 	| tensor([ 8, 14,  3, 12,  8, 14, 13, 11,  9, 14], device='cuda:0')
0 55 	| 1.7785 	| 0.4062 	| tensor([ 7,  8, 11,  2, 14,  9,  2, 14, 11,  9], device='cuda:0')
0 56 	| 2.2208 	| 0.3438 	| tensor([ 8, 13,  7, 14,  6, 11,  9,  6,  8,  3], device='cuda:0')
0 57 	| 2.1764 	| 0.3438 	| tensor([14,  6, 13,  0, 11,  8,  7, 12,  8,  7], device='cuda:0')
0 58 	| 2.1697 	| 0.25 	| tensor([ 7,  6, 12, 11,  7,  2,  9,  7, 14,  0], device='cuda:0')
0 59 	| 1.8531 	| 0.4375 	| tensor([12, 13,  6, 10,  7,  5,  8,  9, 13,  8], device='cuda:0')
0 60 	| 1.9264 	| 0.375 	| tensor([ 2,  8,  7,  8, 10,  2, 14,  0,  9, 12], device='cuda:0')
0 61 	| 1.9265 	| 0.3438 	| tensor([ 9,  6, 14,  2,  8, 12,  7, 12, 10, 11], device='cuda:0')
0 62 	| 1.7296 	| 0.2812 	| tensor([ 8,  0,  7,  8, 14,  8,  5, 10,  7, 13], device='cuda:0')
0 63 	| 1.7215 	| 0.3438 	| tensor([ 2,  2,  9, 12,  8,  2,  8, 14, 13,  7], device='cuda:0')
0 64 	| 1.6491 	| 0.375 	| tensor([ 7,  7,  6,  0,  9, 10,  0,  7,  5,  8], device='cuda:0')
0 65 	| 1.973 	| 0.2188 	| tensor([10, 12, 13,  6,  7,  8,  5,  7,  8,  3], device='cuda:0')
0 66 	| 1.919 	| 0.2812 	| tensor([14,  6,  7, 12,  9, 12,  7,  0,  3,  8], device='cuda:0')
0 67 	| 1.9906 	| 0.3438 	| tensor([ 5,  8,  5, 14,  6, 11,  8,  9,  2,  8], device='cuda:0')
0 68 	| 2.1221 	| 0.2812 	| tensor([ 5,  7,  6,  8,  5, 12,  2,  8,  3,  9], device='cuda:0')
0 69 	| 1.6086 	| 0.375 	| tensor([ 8,  0,  8,  9,  7,  2,  2,  3,  6, 11], device='cuda:0')
0 70 	| 2.1138 	| 0.3125 	| tensor([ 5,  5,  8,  1, 14, 10,  0, 11,  2, 12], device='cuda:0')
0 71 	| 1.594 	| 0.375 	| tensor([ 9, 10, 14,  5, 13, 11,  6,  8, 12,  7], device='cuda:0')
0 72 	| 2.6426 	| 0.3438 	| tensor([12, 14, 14,  3, 12,  3,  8,  2, 14,  7], device='cuda:0')
0 73 	| 2.1185 	| 0.2812 	| tensor([ 8, 11,  3,  2, 12, 11,  6,  0, 11,  4], device='cuda:0')
0 74 	| 1.7453 	| 0.5625 	| tensor([11, 10,  3,  2,  2,  3,  2,  9, 11, 14], device='cuda:0')
0 75 	| 2.1418 	| 0.4688 	| tensor([ 1,  2,  6, 11,  7, 14, 14,  2, 14, 11], device='cuda:0')
0 76 	| 1.5781 	| 0.5 	| tensor([12, 11, 11,  6,  6, 14,  6,  9,  0,  2], device='cuda:0')
0 77 	| 1.8765 	| 0.4375 	| tensor([13, 10, 14, 14,  6,  3, 11,  3,  9,  6], device='cuda:0')
0 78 	| 2.0183 	| 0.2812 	| tensor([13,  7,  3,  1,  1,  1,  1,  9,  0, 10], device='cuda:0')
0 79 	| 2.4596 	| 0.3438 	| tensor([ 9,  7,  7,  7, 11,  5,  9,  1, 12,  2], device='cuda:0')
0 80 	| 1.8054 	| 0.3438 	| tensor([11,  7,  2, 10, 11,  7,  1,  6,  8,  0], device='cuda:0')
0 81 	| 2.2698 	| 0.3125 	| tensor([ 1,  0, 12,  7,  2, 14,  2, 14,  0,  6], device='cuda:0')
0 82 	| 1.3189 	| 0.4688 	| tensor([ 6, 12,  1,  7,  0,  4, 12,  2, 13,  6], device='cuda:0')
0 83 	| 2.3335 	| 0.2812 	| tensor([10, 14,  4,  7, 10,  3,  7,  1,  9,  6], device='cuda:0')
0 84 	| 1.7731 	| 0.4375 	| tensor([ 4,  1, 12,  1, 14, 12,  7,  6, 14,  6], device='cuda:0')
0 85 	| 2.1742 	| 0.3438 	| tensor([ 7,  5, 11,  1, 14,  0,  1, 13, 11, 10], device='cuda:0')
0 86 	| 1.8897 	| 0.4062 	| tensor([12,  7, 12, 12, 12,  1, 10,  1,  7,  5], device='cuda:0')
0 87 	| 1.9106 	| 0.3438 	| tensor([12, 11, 12, 12, 12, 14, 10,  6, 11, 11], device='cuda:0')
0 88 	| 2.025 	| 0.375 	| tensor([ 5, 13, 11,  3, 11,  5,  2,  0,  6, 12], device='cuda:0')
0 89 	| 1.7418 	| 0.375 	| tensor([ 2, 11, 12,  2,  6,  4,  5, 11, 11, 12], device='cuda:0')
0 90 	| 2.2918 	| 0.3438 	| tensor([10, 13,  2, 12,  5,  0, 11,  5, 12,  7], device='cuda:0')
0 91 	| 2.1625 	| 0.3125 	| tensor([10, 12, 12, 11, 12, 10,  1, 11, 13, 12], device='cuda:0')
0 92 	| 2.1713 	| 0.3438 	| tensor([12, 13, 12,  5,  4,  9,  2, 14,  4,  9], device='cuda:0')
0 93 	| 1.9278 	| 0.3125 	| tensor([12, 11,  9,  7,  4,  5, 11,  1,  1,  2], device='cuda:0')
0 94 	| 1.6884 	| 0.375 	| tensor([12,  4,  4,  1,  1, 11,  7,  6,  2,  5], device='cuda:0')
0 95 	| 1.8475 	| 0.4062 	| tensor([ 9,  7, 12,  1,  5, 14,  1,  9,  2,  7], device='cuda:0')
0 96 	| 1.7615 	| 0.3438 	| tensor([ 4,  1, 13,  4,  9, 11,  7,  4,  9,  6], device='cuda:0')
0 97 	| 1.8873 	| 0.4062 	| tensor([11, 12,  0, 14, 11,  4,  9,  5,  5, 10], device='cuda:0')
0 98 	| 1.6245 	| 0.375 	| tensor([11,  9, 10,  5,  5, 13,  0,  1, 11,  1], device='cuda:0')
0 99 	| 1.8384 	| 0.2812 	| tensor([12,  4,  7,  7,  7,  6,  1,  9,  2, 12], device='cuda:0')
0 100 	| 1.3724 	| 0.5312 	| tensor([ 1,  7,  1, 10, 12,  1, 11, 14, 10, 12], device='cuda:0')
