
Epoch:   0%|                                                                                                                  | 0/10 [00:00<?, ?it/s]
0 0 	| 2.7361 	| 0.0 	| tensor([ 9, 11,  9,  3,  7,  4,  8,  6,  9,  1], device='cuda:0')
0 1 	| 2.7322 	| 0.0938 	| tensor([ 4,  8,  8,  7, 12,  0,  9,  8, 13,  0], device='cuda:0')
0 2 	| 2.6703 	| 0.0938 	| tensor([ 6,  0,  7,  8, 14, 14,  8,  8,  5, 10], device='cuda:0')
0 3 	| 2.6849 	| 0.125 	| tensor([ 0, 14, 12,  5,  1, 13,  0, 13,  4, 12], device='cuda:0')
0 4 	| 2.4239 	| 0.25 	| tensor([13, 12,  9,  0,  1,  4,  1,  6,  2, 12], device='cuda:0')
0 5 	| 2.4213 	| 0.1875 	| tensor([ 2,  8, 10,  4, 11, 10, 12,  5,  3,  5], device='cuda:0')
0 6 	| 2.2018 	| 0.3125 	| tensor([ 8,  6,  1,  5,  6,  8,  6,  4,  8, 13], device='cuda:0')
0 7 	| 2.0221 	| 0.4062 	| tensor([12, 11,  3,  9, 13,  8,  1, 11,  5,  8], device='cuda:0')
0 8 	| 2.6085 	| 0.1875 	| tensor([ 5, 11,  4,  5, 11,  9,  7,  5,  2, 14], device='cuda:0')
0 9 	| 2.5126 	| 0.1562 	| tensor([14,  5,  2,  5, 12, 11,  5, 11,  2,  5], device='cuda:0')
0 10 	| 2.1291 	| 0.3438 	| tensor([ 3,  5, 12, 14,  8,  5, 12,  5,  3,  3], device='cuda:0')
0 11 	| 1.6712 	| 0.5 	| tensor([11,  5,  2,  5, 14, 13, 13,  0,  8, 11], device='cuda:0')
0 12 	| 2.2087 	| 0.2812 	| tensor([11,  6,  6,  3, 13, 11,  6,  6, 11,  5], device='cuda:0')
0 13 	| 2.3397 	| 0.25 	| tensor([ 5,  7, 12, 13,  2,  6,  5,  2, 11,  3], device='cuda:0')
0 14 	| 2.6796 	| 0.2188 	| tensor([ 6,  7, 13,  8, 12,  2,  0,  5,  7,  5], device='cuda:0')
0 15 	| 2.2008 	| 0.2812 	| tensor([14,  3, 11, 12, 13, 11,  2,  7,  6,  3], device='cuda:0')
0 16 	| 2.0066 	| 0.2812 	| tensor([ 6, 13,  2, 12,  3, 11,  5,  4,  7, 14], device='cuda:0')
0 17 	| 1.9959 	| 0.25 	| tensor([ 0,  3,  7, 12,  7,  6, 13,  0,  7,  7], device='cuda:0')
0 18 	| 2.0519 	| 0.3125 	| tensor([ 2,  6, 14,  7, 11,  6, 12,  2, 12, 13], device='cuda:0')
0 19 	| 2.3157 	| 0.25 	| tensor([ 7,  2, 10, 11,  3, 13, 11, 11,  5,  6], device='cuda:0')
0 20 	| 2.1222 	| 0.2812 	| tensor([14,  2,  3, 13,  5,  7,  8,  9,  2,  5], device='cuda:0')
0 21 	| 1.9832 	| 0.4688 	| tensor([ 7,  4,  7,  6, 12, 11,  2,  7,  2, 11], device='cuda:0')
0 22 	| 2.3146 	| 0.1875 	| tensor([ 3,  6,  7, 10, 11,  5,  6, 12, 13,  3], device='cuda:0')
0 23 	| 2.0688 	| 0.375 	| tensor([12,  6, 12,  0,  9, 12,  3,  6, 10, 11], device='cuda:0')
0 24 	| 2.1242 	| 0.25 	| tensor([10, 11, 11,  3,  7, 11,  8,  7,  0, 13], device='cuda:0')
0 25 	| 1.9841 	| 0.3438 	| tensor([ 5,  5,  7,  6,  4, 11,  0,  2,  6,  0], device='cuda:0')
