
Epoch:   0%|                                                                                                                  | 0/10 [00:00<?, ?it/s]
0 0 	| 3.2493 	| 0.0938 	| tensor([11, 13,  6, 13, 12, 11,  1, 10, 10, 11], device='cuda:0')
0 1 	| 2.6741 	| 0.1562 	| tensor([ 3, 14,  4, 11,  0,  7, 11, 13,  1, 11], device='cuda:0')
0 2 	| 2.8147 	| 0.125 	| tensor([ 8,  8, 11,  8, 11,  6,  6,  2, 10,  5], device='cuda:0')
0 3 	| 2.8075 	| 0.125 	| tensor([ 3, 10,  1,  8, 13, 10,  5,  6,  2, 10], device='cuda:0')
0 4 	| 2.6627 	| 0.0312 	| tensor([ 4, 10,  0, 11,  1, 11,  3,  1,  2,  0], device='cuda:0')
0 5 	| 2.4802 	| 0.1875 	| tensor([10, 11,  2,  7,  5, 10, 12,  0, 10, 10], device='cuda:0')
0 6 	| 2.4748 	| 0.2812 	| tensor([ 6, 13, 11,  3, 14,  2,  8,  2, 10,  0], device='cuda:0')
0 7 	| 2.3793 	| 0.1562 	| tensor([10,  6,  6,  7, 10,  8,  6,  4, 13,  1], device='cuda:0')
0 8 	| 2.3372 	| 0.2188 	| tensor([3, 6, 8, 6, 8, 7, 9, 4, 8, 6], device='cuda:0')
0 9 	| 2.3333 	| 0.2188 	| tensor([ 1, 10,  6, 13, 11,  7, 11,  2,  7,  8], device='cuda:0')
0 10 	| 2.4459 	| 0.1875 	| tensor([ 6,  7,  3, 14,  4, 13, 10,  8,  7,  7], device='cuda:0')
0 11 	| 2.437 	| 0.1875 	| tensor([ 6,  1,  7,  7,  2, 11,  6,  6,  7,  6], device='cuda:0')
0 12 	| 2.3228 	| 0.25 	| tensor([13, 11,  1,  8,  9,  8,  2, 13,  2, 13], device='cuda:0')
0 13 	| 2.1736 	| 0.3125 	| tensor([ 7,  9,  0,  1,  1, 11,  8, 14,  1,  7], device='cuda:0')
0 14 	| 2.5551 	| 0.1875 	| tensor([ 8,  9,  7,  8,  8, 10, 14,  2,  4,  7], device='cuda:0')
0 15 	| 2.2494 	| 0.3125 	| tensor([ 6,  8, 10, 11, 13,  3, 14,  6,  7,  8], device='cuda:0')
0 16 	| 2.1542 	| 0.375 	| tensor([ 3,  8,  8,  7,  1,  4, 10, 13,  1, 11], device='cuda:0')
0 17 	| 2.4293 	| 0.1875 	| tensor([11,  0,  8,  7, 11,  6,  4,  6,  4,  8], device='cuda:0')
0 18 	| 2.1435 	| 0.4375 	| tensor([ 7, 13,  7,  8,  7, 13,  6,  6,  3,  3], device='cuda:0')
0 19 	| 2.2124 	| 0.25 	| tensor([ 1,  7, 11, 10,  7, 13, 14,  1,  6,  7], device='cuda:0')
0 20 	| 1.7697 	| 0.4375 	| tensor([13,  4,  6,  2, 14,  1, 13, 10, 11,  7], device='cuda:0')
0 21 	| 2.0793 	| 0.25 	| tensor([ 7,  6,  2,  8,  8,  3,  3,  8,  1, 10], device='cuda:0')
0 22 	| 2.1847 	| 0.25 	| tensor([12, 11, 10,  1,  6,  6, 14, 13,  1,  1], device='cuda:0')
0 23 	| 2.1439 	| 0.1875 	| tensor([13,  6,  6, 10,  7,  7, 11,  7,  1,  1], device='cuda:0')
0 24 	| 2.0079 	| 0.3125 	| tensor([ 3,  3,  7,  8,  1,  4,  6, 11, 11, 10], device='cuda:0')
0 25 	| 2.0807 	| 0.25 	| tensor([ 7,  0, 11,  9, 14,  1, 13,  6,  3,  7], device='cuda:0')
0 26 	| 2.1287 	| 0.375 	| tensor([11, 11,  1,  6, 11,  3,  1,  0,  3, 11], device='cuda:0')
0 27 	| 2.1332 	| 0.2812 	| tensor([ 4,  7, 13,  6,  1,  4, 10,  6,  2,  6], device='cuda:0')
