
Epoch:   0%|                                                                                                                   | 0/5 [00:00<?, ?it/s]
0 0 	| 2.251 	| 3.1755 	| 0.0939 	| 0.0312
0 1 	| 2.0477 	| 2.8909 	| 0.0803 	| 0.0625
0 2 	| 1.9005 	| 2.6747 	| 0.094 	| 0.0625
0 3 	| 1.9362 	| 2.7186 	| 0.1106 	| 0.0625
0 4 	| 1.8403 	| 2.5772 	| 0.121 	| 0.1562
0 5 	| 1.9226 	| 2.7142 	| 0.0755 	| 0.0625
0 6 	| 1.6403 	| 2.3188 	| 0.0572 	| 0.3438
0 7 	| 1.7858 	| 2.5056 	| 0.1064 	| 0.125
0 8 	| 1.8213 	| 2.5678 	| 0.0794 	| 0.2188
0 9 	| 1.6062 	| 2.262 	| 0.076 	| 0.25
0 10 	| 1.5814 	| 2.2191 	| 0.0933 	| 0.4062
0 11 	| 1.6541 	| 2.3374 	| 0.0597 	| 0.25
0 12 	| 1.7868 	| 2.5063 	| 0.1079 	| 0.1875
0 13 	| 1.6582 	| 2.3472 	| 0.0504 	| 0.125
0 14 	| 1.6677 	| 2.3524 	| 0.0703 	| 0.25
0 15 	| 1.7735 	| 2.5066 	| 0.0627 	| 0.2188
0 16 	| 1.6902 	| 2.3882 	| 0.0617 	| 0.1875
0 17 	| 1.6111 	| 2.2771 	| 0.057 	| 0.2812
0 18 	| 1.6358 	| 2.303 	| 0.0788 	| 0.1875
0 19 	| 1.5332 	| 2.1723 	| 0.042 	| 0.25
0 20 	| 1.3176 	| 1.8603 	| 0.0515 	| 0.4375
0 21 	| 1.5972 	| 2.2425 	| 0.0914 	| 0.2812
0 22 	| 1.5603 	| 2.2032 	| 0.0603 	| 0.3125
0 23 	| 1.6014 	| 2.2611 	| 0.0621 	| 0.1875
0 24 	| 1.559 	| 2.2014 	| 0.06 	| 0.2188
0 25 	| 1.4272 	| 2.0138 	| 0.0585 	| 0.4062
0 26 	| 1.4667 	| 2.0639 	| 0.0732 	| 0.3125
0 27 	| 1.5219 	| 2.1546 	| 0.0457 	| 0.2188
0 28 	| 1.6126 	| 2.2788 	| 0.0579 	| 0.1875
0 29 	| 1.8258 	| 2.583 	| 0.0592 	| 0.2188
0 30 	| 1.5424 	| 2.1712 	| 0.0754 	| 0.3125
0 31 	| 1.5637 	| 2.1966 	| 0.0868 	| 0.375
0 32 	| 1.7362 	| 2.4609 	| 0.045 	| 0.3125
0 33 	| 1.5185 	| 2.1263 	| 0.1004 	| 0.2188
0 34 	| 1.571 	| 2.231 	| 0.0311 	| 0.3438
0 35 	| 1.7493 	| 2.4627 	| 0.0848 	| 0.1875
0 36 	| 1.4906 	| 2.1098 	| 0.0457 	| 0.3438
0 37 	| 1.4057 	| 1.9849 	| 0.0542 	| 0.25
0 38 	| 1.4126 	| 1.9901 	| 0.0649 	| 0.3125
0 39 	| 1.7201 	| 2.421 	| 0.0846 	| 0.25
0 40 	| 1.4399 	| 2.0216 	| 0.0824 	| 0.3125
0 41 	| 1.8168 	| 2.5473 	| 0.1125 	| 0.1562
0 42 	| 1.5824 	| 2.2132 	| 0.1106 	| 0.375
0 43 	| 1.6391 	| 2.3193 	| 0.0518 	| 0.3125
0 44 	| 1.3136 	| 1.8384 	| 0.0888 	| 0.3125
0 45 	| 1.5762 	| 2.2175 	| 0.0797 	| 0.2188
0 46 	| 1.501 	| 2.1018 	| 0.0991 	| 0.3438
0 47 	| 1.3191 	| 1.8543 	| 0.0705 	| 0.3125
0 48 	| 1.6197 	| 2.2594 	| 0.1272 	| 0.1875
0 49 	| 1.4113 	| 1.9871 	| 0.0678 	| 0.4062
0 50 	| 1.5502 	| 2.1722 	| 0.0989 	| 0.3125
0 51 	| 1.3902 	| 1.9497 	| 0.0847 	| 0.375
0 52 	| 1.5479 	| 2.1786 	| 0.0761 	| 0.2812
0 53 	| 1.4788 	| 2.0457 	| 0.1559 	| 0.2812
0 54 	| 1.4777 	| 2.076 	| 0.0817 	| 0.3438
0 55 	| 1.8505 	| 2.6034 	| 0.0937 	| 0.25
0 56 	| 1.5363 	| 2.1511 	| 0.102 	| 0.3438
0 57 	| 1.5552 	| 2.163 	| 0.1368 	| 0.2812
0 58 	| 1.5639 	| 2.1995 	| 0.0808 	| 0.2812
0 59 	| 1.4798 	| 2.066 	| 0.1121 	| 0.3438
0 60 	| 1.6195 	| 2.2642 	| 0.1152 	| 0.1562
0 61 	| 1.3691 	| 1.9293 	| 0.0618 	| 0.4062
0 62 	| 1.781 	| 2.5141 	| 0.0706 	| 0.1875
0 63 	| 1.4201 	| 1.9994 	| 0.0682 	| 0.4062
0 64 	| 1.5805 	| 2.227 	| 0.0719 	| 0.3125
0 65 	| 1.5627 	| 2.2029 	| 0.0688 	| 0.2812
0 66 	| 1.6512 	| 2.312 	| 0.1093 	| 0.2812
0 67 	| 1.4942 	| 2.1109 	| 0.0553 	| 0.4062
0 68 	| 1.4908 	| 2.1077 	| 0.0512 	| 0.2812
0 69 	| 1.4001 	| 1.9742 	| 0.0605 	| 0.4688
0 70 	| 1.7718 	| 2.5104 	| 0.0485 	| 0.2188
0 71 	| 1.3713 	| 1.94 	| 0.0444 	| 0.375
0 72 	| 1.5543 	| 2.1951 	| 0.0591 	| 0.2812
0 73 	| 1.5639 	| 2.209 	| 0.0588 	| 0.3125
0 74 	| 1.3877 	| 1.946 	| 0.085 	| 0.1875
0 75 	| 1.6342 	| 2.3056 	| 0.0675 	| 0.1875
0 76 	| 1.5482 	| 2.1869 	| 0.058 	| 0.1875
0 77 	| 1.2107 	| 1.7145 	| 0.0352 	| 0.4688
0 78 	| 1.2796 	| 1.8098 	| 0.0424 	| 0.375
0 79 	| 1.7756 	| 2.5066 	| 0.0701 	| 0.1562
0 80 	| 1.6372 	| 2.3075 	| 0.0731 	| 0.3125
0 81 	| 1.578 	| 2.232 	| 0.0521 	| 0.3125
0 82 	| 1.285 	| 1.8108 	| 0.0579 	| 0.3125
0 83 	| 1.5506 	| 2.1803 	| 0.0812 	| 0.2812
0 84 	| 1.2942 	| 1.8254 	| 0.0549 	| 0.25
0 85 	| 1.5512 	| 2.1856 	| 0.071 	| 0.2812
0 86 	| 1.4956 	| 2.1149 	| 0.0506 	| 0.2188
0 87 	| 1.3682 	| 1.9335 	| 0.0494 	| 0.4062
0 88 	| 1.5318 	| 2.1632 	| 0.0584 	| 0.2188
0 89 	| 1.598 	| 2.2566 	| 0.0613 	| 0.1875
0 90 	| 1.3943 	| 1.9692 	| 0.053 	| 0.3438
0 91 	| 1.3781 	| 1.9446 	| 0.0563 	| 0.3125
0 92 	| 1.4364 	| 2.0344 	| 0.0412 	| 0.25
0 93 	| 1.1218 	| 1.59 	| 0.0294 	| 0.5
0 94 	| 1.3484 	| 1.8996 	| 0.0624 	| 0.3438
0 95 	| 1.6691 	| 2.3649 	| 0.0458 	| 0.25
0 96 	| 1.375 	| 1.944 	| 0.0474 	| 0.4375
0 97 	| 1.5631 	| 2.2084 	| 0.0574 	| 0.2812
0 98 	| 1.3964 	| 1.9779 	| 0.0397 	| 0.3438
0 99 	| 1.586 	| 2.2194 	| 0.1081 	| 0.1875
0 100 	| 1.5621 	| 2.2022 	| 0.0687 	| 0.2812
0 101 	| 1.4459 	| 2.0447 	| 0.0487 	| 0.3438
0 102 	| 1.5918 	| 2.2422 	| 0.0743 	| 0.25
0 103 	| 1.4537 	| 2.0564 	| 0.0476 	| 0.3125
0 104 	| 1.1587 	| 1.6435 	| 0.0274 	| 0.4062
0 105 	| 1.3568 	| 1.9163 	| 0.0514 	| 0.375
0 106 	| 1.5653 	| 2.2064 	| 0.0694 	| 0.2812
0 107 	| 1.4139 	| 1.9935 	| 0.0616 	| 0.3438
0 108 	| 1.345 	| 1.8988 	| 0.0528 	| 0.4062
0 109 	| 1.6343 	| 2.2886 	| 0.1076 	| 0.2188
0 110 	| 1.5835 	| 2.2403 	| 0.051 	| 0.375
0 111 	| 1.4905 	| 2.1029 	| 0.0617 	| 0.3125
0 112 	| 1.054 	| 1.4943 	| 0.0266 	| 0.5312
0 113 	| 1.6938 	| 2.3942 	| 0.0594 	| 0.3438
0 114 	| 1.5417 	| 2.1738 	| 0.0669 	| 0.2188
0 115 	| 1.4254 	| 2.0085 	| 0.0646 	| 0.3438
0 116 	| 1.284 	| 1.8212 	| 0.0306 	| 0.4375
0 117 	| 1.5372 	| 2.1654 	| 0.0712 	| 0.25
0 118 	| 1.4849 	| 2.0962 	| 0.0586 	| 0.375
0 119 	| 1.391 	| 1.9692 	| 0.0421 	| 0.4062
0 120 	| 1.4459 	| 2.0413 	| 0.0566 	| 0.4375
0 121 	| 1.2718 	| 1.8014 	| 0.036 	| 0.4688
0 122 	| 1.2892 	| 1.8197 	| 0.0513 	| 0.4062
0 123 	| 1.7332 	| 2.4535 	| 0.0524 	| 0.3438
0 124 	| 1.2409 	| 1.7489 	| 0.0554 	| 0.4375
0 125 	| 1.3174 	| 1.8602 	| 0.0509 	| 0.3125
0 126 	| 1.3401 	| 1.8946 	| 0.0462 	| 0.4062
0 127 	| 1.3986 	| 1.9728 	| 0.0589 	| 0.2812
0 128 	| 1.6082 	| 2.2442 	| 0.1241 	| 0.2812
0 129 	| 1.2815 	| 1.8126 	| 0.0424 	| 0.4688
0 130 	| 1.3907 	| 1.9673 	| 0.0454 	| 0.3125
0 131 	| 1.5024 	| 2.1167 	| 0.0692 	| 0.2812
0 132 	| 1.4512 	| 2.0431 	| 0.0702 	| 0.3438
0 133 	| 1.4538 	| 2.0516 	| 0.0588 	| 0.4062
0 134 	| 1.4884 	| 2.1011 	| 0.0587 	| 0.3438
0 135 	| 1.5267 	| 2.1529 	| 0.0655 	| 0.3438
0 136 	| 1.4137 	| 1.9832 	| 0.0851 	| 0.2812
0 137 	| 1.3566 	| 1.9135 	| 0.057 	| 0.3438
0 138 	| 1.4917 	| 2.1074 	| 0.0552 	| 0.3125
0 139 	| 1.7542 	| 2.4634 	| 0.0996 	| 0.2812
0 140 	| 1.5269 	| 2.1544 	| 0.0628 	| 0.3125
0 141 	| 1.5471 	| 2.1808 	| 0.0685 	| 0.25
0 142 	| 1.4246 	| 2.0173 	| 0.0418 	| 0.4062
0 143 	| 1.6572 	| 2.3485 	| 0.044 	| 0.4062
0 144 	| 1.0883 	| 1.541 	| 0.0319 	| 0.625
0 145 	| 1.6178 	| 2.2867 	| 0.057 	| 0.3438
0 146 	| 1.7106 	| 2.4116 	| 0.0749 	| 0.1875
0 147 	| 1.399 	| 1.9822 	| 0.0381 	| 0.3125
0 148 	| 1.4659 	| 2.0675 	| 0.062 	| 0.3125
0 149 	| 1.2298 	| 1.7366 	| 0.0473 	| 0.4375
0 150 	| 1.6758 	| 2.37 	| 0.056 	| 0.2188
0 151 	| 1.53 	| 2.1628 	| 0.0534 	| 0.2812
0 152 	| 1.5202 	| 2.1486 	| 0.0541 	| 0.2812
0 153 	| 1.2957 	| 1.8206 	| 0.0709 	| 0.4062
0 154 	| 1.3784 	| 1.9478 	| 0.0499 	| 0.3125
0 155 	| 1.3338 	| 1.849 	| 0.1318 	| 0.3125
0 156 	| 1.4108 	| 1.9865 	| 0.0675 	| 0.375
0 157 	| 1.5427 	| 2.1705 	| 0.0776 	| 0.25
0 158 	| 1.5205 	| 2.1426 	| 0.069 	| 0.375
0 159 	| 1.3869 	| 1.9458 	| 0.0828 	| 0.4062
0 160 	| 1.6655 	| 2.3425 	| 0.0858 	| 0.25
0 161 	| 1.5877 	| 2.2426 	| 0.0596 	| 0.4375
0 162 	| 1.6949 	| 2.3906 	| 0.0717 	| 0.3125
0 163 	| 1.6392 	| 2.3075 	| 0.0796 	| 0.2188
0 164 	| 1.5362 	| 2.1678 	| 0.0626 	| 0.3125
0 165 	| 1.7033 	| 2.3884 	| 0.1048 	| 0.2812
0 166 	| 1.5793 	| 2.2093 	| 0.1093 	| 0.2812
0 167 	| 1.5465 	| 2.1699 	| 0.0918 	| 0.3125
0 168 	| 1.264 	| 1.7838 	| 0.0512 	| 0.3438
0 169 	| 1.5117 	| 2.1355 	| 0.0561 	| 0.3438
0 170 	| 1.5839 	| 2.238 	| 0.0578 	| 0.3125
0 171 	| 1.8835 	| 2.657 	| 0.0787 	| 0.2812
0 172 	| 1.4492 	| 2.0425 	| 0.0647 	| 0.2812
0 173 	| 1.1244 	| 1.5847 	| 0.0504 	| 0.4688
0 174 	| 1.5265 	| 2.1528 	| 0.065 	| 0.3438
0 175 	| 1.2825 	| 1.7961 	| 0.0842 	| 0.25
0 176 	| 1.3704 	| 1.9298 	| 0.0651 	| 0.375
0 177 	| 1.5113 	| 2.1323 	| 0.0622 	| 0.25
0 178 	| 1.4611 	| 2.0679 	| 0.0452 	| 0.3125
0 179 	| 1.4642 	| 2.0584 	| 0.0777 	| 0.4062
0 180 	| 1.2763 	| 1.8024 	| 0.0488 	| 0.3438
0 181 	| 1.3192 	| 1.8559 	| 0.0667 	| 0.4688
0 182 	| 1.3213 	| 1.8585 	| 0.0679 	| 0.4375
0 183 	| 1.1894 	| 1.6751 	| 0.0563 	| 0.375
0 184 	| 1.4518 	| 2.043 	| 0.0722 	| 0.25
0 185 	| 1.2083 	| 1.7072 	| 0.0443 	| 0.5
0 186 	| 1.2309 	| 1.736 	| 0.0522 	| 0.5312
0 187 	| 1.6441 	| 2.3266 	| 0.0516 	| 0.4375
0 188 	| 1.5351 	| 2.1711 	| 0.0509 	| 0.25
0 189 	| 1.2742 	| 1.793 	| 0.0637 	| 0.5
0 190 	| 1.135 	| 1.6053 	| 0.0378 	| 0.5312
0 191 	| 1.341 	| 1.8962 	| 0.0457 	| 0.375
0 192 	| 1.7387 	| 2.4382 	| 0.1063 	| 0.25
0 193 	| 1.1332 	| 1.5983 	| 0.048 	| 0.5
0 194 	| 1.2302 	| 1.7351 	| 0.0522 	| 0.4062
0 195 	| 1.3074 	| 1.8344 	| 0.0776 	| 0.4688
0 196 	| 1.3712 	| 1.9304 	| 0.0663 	| 0.375
0 197 	| 1.5499 	| 2.1878 	| 0.0615 	| 0.3125
0 198 	| 1.4035 	| 1.9761 	| 0.0676 	| 0.2188
0 199 	| 1.7336 	| 2.4353 	| 0.0963 	| 0.25
0 200 	| 1.3372 	| 1.878 	| 0.0753 	| 0.25
0 201 	| 1.7278 	| 2.4281 	| 0.0936 	| 0.1562
0 202 	| 1.4138 	| 2.0021 	| 0.0413 	| 0.3438
0 203 	| 1.3674 	| 1.9139 	| 0.0922 	| 0.2812
0 204 	| 1.3841 	| 1.9479 	| 0.0686 	| 0.2812
0 205 	| 1.5949 	| 2.2537 	| 0.0579 	| 0.25
0 206 	| 1.2283 	| 1.7371 	| 0.041 	| 0.5312
0 207 	| 1.351 	| 1.8889 	| 0.0958 	| 0.3438
0 208 	| 1.4566 	| 2.0403 	| 0.0945 	| 0.2188
0 209 	| 1.4991 	| 2.0905 	| 0.1189 	| 0.2812
0 210 	| 1.4395 	| 2.0128 	| 0.102 	| 0.4062
0 211 	| 1.6921 	| 2.3597 	| 0.1344 	| 0.2812
0 212 	| 1.1811 	| 1.6484 	| 0.0906 	| 0.375
0 213 	| 1.269 	| 1.7678 	| 0.1051 	| 0.3125
0 214 	| 1.3286 	| 1.8449 	| 0.1238 	| 0.3438
0 215 	| 1.4055 	| 1.9646 	| 0.101 	| 0.375
0 216 	| 1.3894 	| 1.9523 	| 0.076 	| 0.375
0 217 	| 1.5381 	| 2.1514 	| 0.1072 	| 0.2812
0 218 	| 1.2692 	| 1.7783 	| 0.0812 	| 0.3125
0 219 	| 1.2873 	| 1.8146 	| 0.057 	| 0.4062
0 220 	| 1.3044 	| 1.8327 	| 0.0717 	| 0.4688
0 221 	| 1.1885 	| 1.6585 	| 0.0917 	| 0.5
0 222 	| 1.7281 	| 2.4351 	| 0.0784 	| 0.2188
