Len train loader: 21
Len eval loader: 5
Epoch:   0%|                                                                                                                  | 0/10 [00:00<?, ?it/s]
Val mae km: 7963.751724423014  | Mean val loss: 2.328038740158081
0 0 	| 2.382 	| 0.125
0 1 	| 2.589 	| 0.0625
0 2 	| 2.4908 	| 0.0625
0 3 	| 2.2297 	| 0.1875
0 4 	| 2.4966 	| 0.1562
0 5 	| 2.4205 	| 0.0312
0 6 	| 2.4824 	| 0.0312
0 7 	| 2.4805 	| 0.0625
0 8 	| 2.6072 	| 0.0938
0 9 	| 2.3361 	| 0.0625
0 10 	| 2.4987 	| 0.0938
0 11 	| 2.5651 	| 0.0625
0 12 	| 2.4523 	| 0.1875
0 13 	| 2.4677 	| 0.1562
0 14 	| 2.3688 	| 0.1562
0 15 	| 2.3299 	| 0.1562
0 16 	| 2.3387 	| 0.125
0 17 	| 2.4017 	| 0.0625
0 18 	| 2.5903 	| 0.0938

Epoch:  10%|██████████▌                                                                                               | 1/10 [00:40<06:07, 40.88s/it]
0 20 	| 2.3339 	| 0.1562
Val mae km: 7816.232786591284  | Mean val loss: 2.373735189437866
1 0 	| 2.4352 	| 0.0625
1 1 	| 2.305 	| 0.125
1 2 	| 2.5405 	| 0.0625
1 3 	| 2.1795 	| 0.125
1 4 	| 2.3076 	| 0.0938
1 5 	| 2.4934 	| 0.0625
1 6 	| 2.4059 	| 0.0625
1 7 	| 2.2823 	| 0.1562
1 8 	| 2.4967 	| 0.0625
1 9 	| 2.4288 	| 0.0625
1 10 	| 2.5449 	| 0.0312
1 11 	| 2.3829 	| 0.0312
1 12 	| 2.3084 	| 0.0312
1 13 	| 2.3061 	| 0.0625
1 14 	| 2.2717 	| 0.1562
1 15 	| 2.4709 	| 0.125
1 16 	| 2.3919 	| 0.125
1 17 	| 2.2261 	| 0.1562
1 18 	| 2.2586 	| 0.0312

Epoch:  20%|█████████████████████▏                                                                                    | 2/10 [01:21<05:24, 40.53s/it]
1 20 	| 2.4501 	| 0.0625
Val mae km: 8288.783241098256  | Mean val loss: 2.454852056503296
2 0 	| 2.3568 	| 0.0938
2 1 	| 2.2478 	| 0.0625
2 2 	| 2.2756 	| 0.125
2 3 	| 2.2339 	| 0.1875
2 4 	| 2.3426 	| 0.125
2 5 	| 2.443 	| 0.0625
2 6 	| 2.3168 	| 0.1562
2 7 	| 2.3479 	| 0.0625
2 8 	| 2.4739 	| 0.0625
2 9 	| 2.3255 	| 0.0625
2 10 	| 2.2871 	| 0.0938
2 11 	| 2.3962 	| 0.0938
2 12 	| 2.458 	| 0.0938
2 13 	| 2.3183 	| 0.125
2 14 	| 2.3765 	| 0.1562
2 15 	| 2.3077 	| 0.0938
2 16 	| 2.4851 	| 0.125
2 17 	| 2.2602 	| 0.2188
2 18 	| 2.3472 	| 0.0312

Epoch:  30%|███████████████████████████████▊                                                                          | 3/10 [02:01<04:43, 40.46s/it]
2 20 	| 2.4154 	| 0.0625
Val mae km: 8311.314953190693  | Mean val loss: 2.454170989990234
3 0 	| 2.3049 	| 0.0625
3 1 	| 2.5313 	| 0.0625
3 2 	| 2.2201 	| 0.1562
3 3 	| 2.2372 	| 0.125
3 4 	| 2.2765 	| 0.125
3 5 	| 2.3947 	| 0.125
3 6 	| 2.2036 	| 0.1562
3 7 	| 2.279 	| 0.1562
3 8 	| 2.2911 	| 0.0938
3 9 	| 2.1449 	| 0.1562
3 10 	| 2.1558 	| 0.2812
3 11 	| 2.4633 	| 0.0312
3 12 	| 2.1512 	| 0.1562
3 13 	| 2.3111 	| 0.125
3 14 	| 2.4796 	| 0.0938
3 15 	| 2.3324 	| 0.0938
3 16 	| 2.3934 	| 0.1875
3 17 	| 2.3478 	| 0.0938
3 18 	| 2.3956 	| 0.0312

Epoch:  40%|██████████████████████████████████████████▍                                                               | 4/10 [02:42<04:03, 40.55s/it]
3 20 	| 2.2557 	| 0.1875
Val mae km: 7797.539205638675  | Mean val loss: 2.4169521808624266
4 0 	| 2.3752 	| 0.0
4 1 	| 2.2719 	| 0.125
4 2 	| 2.3618 	| 0.0312
4 3 	| 2.529 	| 0.125
4 4 	| 2.1413 	| 0.1562
4 5 	| 2.3903 	| 0.0625
4 6 	| 2.321 	| 0.1562
4 7 	| 2.3616 	| 0.0625
4 8 	| 2.4187 	| 0.0938
4 9 	| 2.3175 	| 0.0
4 10 	| 2.2428 	| 0.0625
4 11 	| 2.0512 	| 0.2188
4 12 	| 2.3292 	| 0.125
4 13 	| 2.2657 	| 0.0312
4 14 	| 2.2579 	| 0.0938
4 15 	| 2.4813 	| 0.0938
4 16 	| 2.1708 	| 0.1875
4 17 	| 2.3646 	| 0.0938
4 18 	| 2.0341 	| 0.1562

Epoch:  50%|█████████████████████████████████████████████████████                                                     | 5/10 [03:22<03:23, 40.61s/it]
4 20 	| 2.4443 	| 0.0938
Val mae km: 8652.700792498954  | Mean val loss: 2.5095702171325684
5 0 	| 2.0445 	| 0.2188
5 1 	| 2.4183 	| 0.125
5 2 	| 2.1421 	| 0.0938
5 3 	| 2.4399 	| 0.0938
5 4 	| 2.1699 	| 0.125
5 5 	| 2.2011 	| 0.0938
5 6 	| 2.3815 	| 0.0938
5 7 	| 2.3086 	| 0.0312
5 8 	| 2.3403 	| 0.0938
5 9 	| 2.1173 	| 0.1875
5 10 	| 2.3356 	| 0.0
5 11 	| 2.1868 	| 0.1875
5 12 	| 2.1271 	| 0.1562
5 13 	| 2.1211 	| 0.0938
5 14 	| 2.1938 	| 0.1875
5 15 	| 2.4678 	| 0.125
5 16 	| 2.1601 	| 0.25
5 17 	| 2.2268 	| 0.0938
5 18 	| 2.2703 	| 0.0938

Epoch:  60%|███████████████████████████████████████████████████████████████▌                                          | 6/10 [04:03<02:42, 40.51s/it]
5 20 	| 2.3409 	| 0.0625
Val mae km: 8832.92169465038  | Mean val loss: 2.5315363883972166
6 0 	| 2.2739 	| 0.1562
6 1 	| 2.171 	| 0.0938
6 2 	| 2.1988 	| 0.0938
6 3 	| 2.2232 	| 0.25
6 4 	| 2.2961 	| 0.1562
6 5 	| 2.2374 	| 0.1562
6 6 	| 2.3568 	| 0.0625
6 7 	| 2.104 	| 0.1562
6 8 	| 2.2106 	| 0.125
6 9 	| 2.3348 	| 0.0938
6 10 	| 2.3058 	| 0.0625
6 11 	| 2.4597 	| 0.0938
6 12 	| 2.1384 	| 0.1562
6 13 	| 2.2055 	| 0.125
6 14 	| 2.2865 	| 0.0938
6 15 	| 2.3422 	| 0.125
6 16 	| 2.4547 	| 0.0625
6 17 	| 2.5111 	| 0.0625
6 18 	| 2.2423 	| 0.2188

Epoch:  70%|██████████████████████████████████████████████████████████████████████████▏                               | 7/10 [04:44<02:02, 40.82s/it]
6 20 	| 2.2804 	| 0.1562
Val mae km: 8568.687752451422  | Mean val loss: 2.5188108921051025
7 0 	| 2.1868 	| 0.2188
7 1 	| 2.2738 	| 0.125
7 2 	| 2.3716 	| 0.0625
7 3 	| 2.2946 	| 0.1875
7 4 	| 2.2375 	| 0.0938
7 5 	| 2.4027 	| 0.0625
7 6 	| 2.2469 	| 0.1562
7 7 	| 2.24 	| 0.1562
7 8 	| 2.3754 	| 0.0312
7 9 	| 2.2701 	| 0.0938
7 10 	| 2.3229 	| 0.0938
7 11 	| 2.3078 	| 0.125
7 12 	| 2.3846 	| 0.0312
7 13 	| 2.2167 	| 0.125
7 14 	| 2.0927 	| 0.2188
7 15 	| 2.44 	| 0.0938
7 16 	| 2.1281 	| 0.1562
7 17 	| 2.2605 	| 0.2188
7 18 	| 2.156 	| 0.125

Epoch:  80%|████████████████████████████████████████████████████████████████████████████████████▊                     | 8/10 [05:25<01:21, 40.79s/it]
7 20 	| 2.4341 	| 0.0938
Val mae km: 9022.146400328951  | Mean val loss: 2.4738883495330812
8 0 	| 2.4448 	| 0.0312
8 1 	| 2.429 	| 0.0625
8 2 	| 2.3524 	| 0.0625
8 3 	| 2.1887 	| 0.125
8 4 	| 2.2307 	| 0.1875
8 5 	| 2.2422 	| 0.0938
8 6 	| 2.4043 	| 0.1562
8 7 	| 2.3237 	| 0.25
8 8 	| 2.2206 	| 0.0938
8 9 	| 2.1796 	| 0.0625
8 10 	| 2.2668 	| 0.1875
8 11 	| 2.1159 	| 0.1562
8 12 	| 2.0572 	| 0.0938
8 13 	| 2.2772 	| 0.0625
8 14 	| 2.3565 	| 0.0625
8 15 	| 2.261 	| 0.0938
8 16 	| 2.3162 	| 0.125
8 17 	| 2.0483 	| 0.125
8 18 	| 2.295 	| 0.125

Epoch:  90%|███████████████████████████████████████████████████████████████████████████████████████████████▍          | 9/10 [06:06<00:40, 40.88s/it]
8 20 	| 2.2071 	| 0.0938
Val mae km: 8823.276109837057  | Mean val loss: 2.534177541732788
9 0 	| 2.408 	| 0.0938
9 1 	| 2.0915 	| 0.2188
9 2 	| 2.4213 	| 0.1562
9 3 	| 2.1441 	| 0.0625
9 4 	| 2.2267 	| 0.1562
9 5 	| 2.3812 	| 0.0625
9 6 	| 2.3221 	| 0.0625
9 7 	| 2.3021 	| 0.0938
9 8 	| 2.1192 	| 0.0938
9 9 	| 2.3982 	| 0.0625
9 10 	| 2.1742 	| 0.1875
9 11 	| 2.1077 	| 0.2188
9 12 	| 2.1737 	| 0.125
9 13 	| 2.4174 	| 0.125
9 14 	| 2.1888 	| 0.0938
9 15 	| 2.3866 	| 0.125
9 16 	| 1.9514 	| 0.3125
9 17 	| 2.2538 	| 0.125
9 18 	| 2.2982 	| 0.0625

Epoch: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████| 10/10 [06:47<00:00, 40.71s/it]
9 20 	| 2.2077 	| 0.0625
eval mae km: [7963.751724423014, 7816.232786591284, 8288.783241098256, 8311.314953190693, 7797.539205638675, 8652.700792498954, 8832.92169465038, 8568.687752451422, 9022.146400328951, 8823.276109837057]
eval losses: [2.328038740158081, 2.373735189437866, 2.454852056503296, 2.454170989990234, 2.4169521808624266, 2.5095702171325684, 2.5315363883972166, 2.5188108921051025, 2.4738883495330812, 2.534177541732788]
