
Epoch:   0%|                                                                                                                  | 0/10 [00:00<?, ?it/s]
Len train loader: 21
Len eval loader: 5
Val mae km: 9309.028310370857  | Mean val loss: 2.6618869304656982
0 0 	| 2.4493 	| 0.0625
0 1 	| 3.333 	| 0.2188
0 2 	| 3.4209 	| 0.1562
0 3 	| 4.0176 	| 0.0938
0 4 	| 2.8745 	| 0.0312
0 5 	| 2.7269 	| 0.0
0 6 	| 2.9387 	| 0.0312
0 7 	| 2.6457 	| 0.0312
0 8 	| 2.3363 	| 0.0625
0 9 	| 2.5427 	| 0.0625
0 10 	| 2.5167 	| 0.125
0 11 	| 2.4824 	| 0.125
0 12 	| 2.6651 	| 0.0625
0 13 	| 2.5849 	| 0.125
0 14 	| 2.5014 	| 0.0625
0 15 	| 2.9751 	| 0.0625
0 16 	| 2.6462 	| 0.0312
0 17 	| 2.5739 	| 0.0938
0 18 	| 2.75 	| 0.0938

Epoch:  10%|██████████▌                                                                                               | 1/10 [00:41<06:09, 41.10s/it]
0 20 	| 2.5403 	| 0.0625
Val mae km: 12295.357422760479  | Mean val loss: 2.421660804748535
1 0 	| 2.7902 	| 0.0312
1 1 	| 2.9282 	| 0.0625
1 2 	| 2.6389 	| 0.1875
1 3 	| 2.7549 	| 0.0312
1 4 	| 2.2843 	| 0.0938
1 5 	| 2.8837 	| 0.0625
1 6 	| 2.5901 	| 0.0938
1 7 	| 2.7073 	| 0.0938
1 8 	| 3.2197 	| 0.0
1 9 	| 2.5193 	| 0.1562
1 10 	| 3.01 	| 0.0312
1 11 	| 3.0259 	| 0.0938
1 12 	| 2.796 	| 0.0625
1 13 	| 2.7788 	| 0.125
1 14 	| 3.1704 	| 0.0312
1 15 	| 2.936 	| 0.0938
1 16 	| 2.7176 	| 0.0938
1 17 	| 2.685 	| 0.0938
1 18 	| 2.5447 	| 0.0625

Epoch:  20%|█████████████████████▏                                                                                    | 2/10 [01:22<05:31, 41.48s/it]
1 20 	| 2.9589 	| 0.0
Val mae km: 9880.223661397677  | Mean val loss: 2.749862003326416
2 0 	| 2.7697 	| 0.0312
2 1 	| 2.9583 	| 0.0312
2 2 	| 3.0263 	| 0.0312
2 3 	| 2.8949 	| 0.125
2 4 	| 2.7827 	| 0.125
2 5 	| 2.3152 	| 0.125
2 6 	| 2.5216 	| 0.0312
2 7 	| 2.5022 	| 0.0938
2 8 	| 2.6609 	| 0.0938
2 9 	| 2.4723 	| 0.0625
2 10 	| 2.4817 	| 0.1875
2 11 	| 2.4657 	| 0.125
2 12 	| 2.5103 	| 0.0312
2 13 	| 2.5834 	| 0.0312
2 14 	| 2.4259 	| 0.0312
2 15 	| 2.4824 	| 0.0938
2 16 	| 2.8632 	| 0.125
2 17 	| 2.5432 	| 0.1562

Epoch:  30%|███████████████████████████████▊                                                                          | 3/10 [02:03<04:49, 41.32s/it]
2 19 	| 3.1303 	| 0.0625
2 20 	| 2.6398 	| 0.1562
Val mae km: 9974.371859646339  | Mean val loss: 3.751500463485718
3 0 	| 2.5993 	| 0.0312
3 1 	| 2.8031 	| 0.1562
3 2 	| 2.5306 	| 0.0938
3 3 	| 2.4325 	| 0.125
3 4 	| 2.5951 	| 0.0
3 5 	| 2.6666 	| 0.0938
3 6 	| 2.3275 	| 0.0938
3 7 	| 2.5221 	| 0.0312
3 8 	| 2.1745 	| 0.25
3 9 	| 2.4338 	| 0.125
3 10 	| 2.6312 	| 0.125
3 11 	| 2.4728 	| 0.0625
3 12 	| 2.1032 	| 0.125
3 13 	| 2.812 	| 0.0625
3 14 	| 2.5561 	| 0.125
3 15 	| 2.1533 	| 0.1875
3 16 	| 2.4206 	| 0.125
3 17 	| 2.7533 	| 0.1562
