Len train loader: 21
Len eval loader: 5
Epoch:   0%|                                                                                                                  | 0/10 [00:00<?, ?it/s]
Val mae km: 8730.285161918755  | Mean val loss: 2.774327611923218
0 0 	| 2.7495 	| 0.0312
0 1 	| 3.2594 	| 0.0625
0 2 	| 3.723 	| 0.1875
0 3 	| 3.2917 	| 0.0312
0 4 	| 3.6943 	| 0.0625
0 5 	| 3.2779 	| 0.125
0 6 	| 3.0851 	| 0.1875
0 7 	| 2.9525 	| 0.0312
0 8 	| 2.969 	| 0.0938
0 9 	| 3.0531 	| 0.0625
0 10 	| 2.8847 	| 0.0625
0 11 	| 3.0046 	| 0.0
0 12 	| 2.9055 	| 0.0625
0 13 	| 2.8824 	| 0.0312
0 14 	| 2.9633 	| 0.0312
0 15 	| 2.8557 	| 0.0938
0 16 	| 3.1133 	| 0.0625
0 17 	| 2.8972 	| 0.0625
0 18 	| 2.9604 	| 0.0312

Epoch:  10%|██████████▌                                                                                               | 1/10 [00:41<06:09, 41.07s/it]
0 20 	| 2.892 	| 0.0625
Val mae km: 9423.347764019316  | Mean val loss: 2.708370876312256
1 0 	| 2.6138 	| 0.0625
1 1 	| 2.6565 	| 0.125
1 2 	| 2.5757 	| 0.0312
1 3 	| 2.8132 	| 0.0938
1 4 	| 2.756 	| 0.1562
1 5 	| 2.6432 	| 0.125
1 6 	| 2.7023 	| 0.0938
1 7 	| 3.0026 	| 0.0312
1 8 	| 2.9242 	| 0.0938
1 9 	| 3.1115 	| 0.0312
1 10 	| 2.7341 	| 0.0938
1 11 	| 2.778 	| 0.0938
1 12 	| 2.9594 	| 0.0938
1 13 	| 2.5913 	| 0.1562
1 14 	| 3.1183 	| 0.0625
1 15 	| 3.2084 	| 0.0312
1 16 	| 2.8762 	| 0.0938
1 17 	| 2.7407 	| 0.0625
1 18 	| 2.9111 	| 0.0625

Epoch:  20%|█████████████████████▏                                                                                    | 2/10 [01:22<05:29, 41.16s/it]
1 20 	| 3.0143 	| 0.0312
Val mae km: 8389.929954993007  | Mean val loss: 2.770744562149048
2 0 	| 2.7355 	| 0.0312
2 1 	| 2.6074 	| 0.0625
2 2 	| 2.9217 	| 0.1562
2 3 	| 3.0044 	| 0.0625
2 4 	| 2.9893 	| 0.0312
2 5 	| 2.8886 	| 0.125
2 6 	| 2.8151 	| 0.0625
2 7 	| 2.6961 	| 0.0625
2 8 	| 3.0382 	| 0.0312
2 9 	| 3.0234 	| 0.0625
2 10 	| 2.9486 	| 0.0312
2 11 	| 2.6618 	| 0.125
2 12 	| 2.5965 	| 0.0625
2 13 	| 2.8778 	| 0.0312
2 14 	| 2.7197 	| 0.0938
2 15 	| 2.843 	| 0.0312
2 16 	| 2.9552 	| 0.0625
2 17 	| 2.649 	| 0.0625
2 18 	| 3.0179 	| 0.125

Epoch:  30%|███████████████████████████████▊                                                                          | 3/10 [02:02<04:46, 40.91s/it]
2 20 	| 2.7958 	| 0.0938
Val mae km: 10252.388023526537  | Mean val loss: 3.017567682266235
3 0 	| 2.7428 	| 0.125
3 1 	| 2.3213 	| 0.25
3 2 	| 2.6487 	| 0.0938
3 3 	| 2.556 	| 0.1875
3 4 	| 2.6843 	| 0.1875
3 5 	| 2.402 	| 0.25
3 6 	| 2.5537 	| 0.125
3 7 	| 2.6401 	| 0.125
3 8 	| 2.6111 	| 0.1562
3 9 	| 2.7476 	| 0.125
3 10 	| 2.738 	| 0.0625
3 11 	| 2.2666 	| 0.25
3 12 	| 2.7123 	| 0.25
3 13 	| 2.8444 	| 0.0312
3 14 	| 2.4116 	| 0.1562
3 15 	| 2.7821 	| 0.0625
3 16 	| 2.7524 	| 0.1562
3 17 	| 2.6408 	| 0.125
3 18 	| 2.8558 	| 0.0625

Epoch:  40%|██████████████████████████████████████████▍                                                               | 4/10 [02:43<04:05, 40.86s/it]
3 20 	| 2.7504 	| 0.125
Val mae km: 8883.558827363802  | Mean val loss: 4.966970157623291
4 0 	| 2.5827 	| 0.125
4 1 	| 2.3005 	| 0.1875
4 2 	| 2.2792 	| 0.1875
4 3 	| 2.4427 	| 0.1875
4 4 	| 2.6762 	| 0.0938
4 5 	| 2.5617 	| 0.1875
4 6 	| 2.3466 	| 0.1875
4 7 	| 2.5706 	| 0.0938
4 8 	| 2.1638 	| 0.2812
4 9 	| 2.3887 	| 0.2188
4 10 	| 2.2318 	| 0.2188
4 11 	| 2.7813 	| 0.125
4 12 	| 2.5076 	| 0.125
4 13 	| 2.6866 	| 0.125
4 14 	| 2.5701 	| 0.1562
4 15 	| 2.8343 	| 0.0938
4 16 	| 2.1536 	| 0.2188
4 17 	| 2.4256 	| 0.2188
4 18 	| 2.3336 	| 0.0938
4 19 	| 2.6987 	| 0.0625

Epoch:  50%|█████████████████████████████████████████████████████                                                     | 5/10 [03:24<03:24, 40.83s/it]
Val mae km: 9147.954051251392  | Mean val loss: 3.751192903518677
5 0 	| 2.3583 	| 0.2188
5 1 	| 2.2188 	| 0.2188
5 2 	| 1.8443 	| 0.2812
5 3 	| 2.2793 	| 0.2188
5 4 	| 1.7734 	| 0.4062
5 5 	| 2.1438 	| 0.2812
5 6 	| 2.1067 	| 0.2812
5 7 	| 2.4514 	| 0.3125
5 8 	| 2.2099 	| 0.2812
5 9 	| 2.4182 	| 0.1875
5 10 	| 1.9089 	| 0.3125
5 11 	| 2.2438 	| 0.25
