
Epoch:   0%|                                                                                                                  | 0/20 [00:00<?, ?it/s]
Len train loader: 21
Len eval loader: 5
Val mae km: 9906.362500891362  | Mean val loss: 3.146653890609741
0 0 	| 3.2438 	| 0.0938
0 1 	| 3.26 	| 0.0938
0 2 	| 3.7665 	| 0.0625
0 3 	| 3.5025 	| 0.0625
0 4 	| 3.5193 	| 0.0312
0 5 	| 3.3338 	| 0.0625
0 6 	| 3.7394 	| 0.0625
0 7 	| 3.0459 	| 0.0938
0 8 	| 3.4251 	| 0.0938
0 9 	| 3.4209 	| 0.0
0 10 	| 3.4039 	| 0.0312
0 11 	| 3.3091 	| 0.0312
0 12 	| 3.2968 	| 0.0625
0 13 	| 3.2154 	| 0.0312
0 14 	| 3.1411 	| 0.0
0 15 	| 2.9654 	| 0.0625
0 16 	| 3.0097 	| 0.0938
0 17 	| 3.137 	| 0.125
0 18 	| 3.3892 	| 0.0625

Epoch:   5%|█████▎                                                                                                    | 1/20 [00:41<13:09, 41.54s/it]
0 20 	| 3.2658 	| 0.0312
Val mae km: 7210.9019266104515  | Mean val loss: 2.9957907676696776
1 0 	| 3.2469 	| 0.0625
1 1 	| 3.0884 	| 0.0938
1 2 	| 3.195 	| 0.0625
1 3 	| 3.1601 	| 0.0625
1 4 	| 3.2891 	| 0.0312
1 5 	| 3.2008 	| 0.0938
1 6 	| 3.3121 	| 0.0
1 7 	| 3.4685 	| 0.0
1 8 	| 3.1275 	| 0.125
1 9 	| 3.0007 	| 0.0625
1 10 	| 3.2149 	| 0.0
1 11 	| 3.2094 	| 0.0625
1 12 	| 3.0967 	| 0.125
1 13 	| 3.1716 	| 0.0312
1 14 	| 3.2493 	| 0.0312
1 15 	| 3.05 	| 0.0312
1 16 	| 3.3424 	| 0.0625
1 17 	| 3.1392 	| 0.0312
1 18 	| 3.3039 	| 0.0312

Epoch:  10%|██████████▌                                                                                               | 2/20 [01:22<12:20, 41.17s/it]
1 20 	| 3.3069 	| 0.0312
Val mae km: 7156.82430321794  | Mean val loss: 3.0384930610656737
2 0 	| 3.0576 	| 0.0625
2 1 	| 3.1411 	| 0.0312
2 2 	| 3.231 	| 0.0
2 3 	| 3.1909 	| 0.125
2 4 	| 3.6807 	| 0.0312
2 5 	| 3.216 	| 0.0625
2 6 	| 3.0928 	| 0.0312
2 7 	| 3.2407 	| 0.0312
2 8 	| 3.1879 	| 0.0625
2 9 	| 3.2408 	| 0.0312
2 10 	| 3.2568 	| 0.0625
2 11 	| 3.4614 	| 0.0312
2 12 	| 3.3738 	| 0.0
2 13 	| 3.294 	| 0.0625
2 14 	| 3.2114 	| 0.0312
2 15 	| 3.1867 	| 0.0312
2 16 	| 3.3951 	| 0.0
2 17 	| 3.2714 	| 0.0625
2 18 	| 3.3614 	| 0.0625
2 19 	| 3.4308 	| 0.0625

Epoch:  15%|███████████████▉                                                                                          | 3/20 [02:03<11:36, 40.99s/it]
Val mae km: 8724.961690790611  | Mean val loss: 3.0412204265594482
3 0 	| 3.1253 	| 0.0625
3 1 	| 3.0907 	| 0.0625
3 2 	| 3.2348 	| 0.0625
3 3 	| 3.3378 	| 0.0312
3 4 	| 3.3793 	| 0.0625
3 5 	| 3.0497 	| 0.0938
3 6 	| 3.4404 	| 0.0312
3 7 	| 3.3436 	| 0.0312
3 8 	| 3.376 	| 0.0938
3 9 	| 3.1679 	| 0.0312
3 10 	| 3.2413 	| 0.0625
3 11 	| 3.4405 	| 0.0312
3 12 	| 3.5017 	| 0.0312
3 13 	| 3.2432 	| 0.0625
3 14 	| 3.4505 	| 0.0312
3 15 	| 3.3793 	| 0.0312
3 16 	| 3.4449 	| 0.0312
3 17 	| 3.35 	| 0.0
