
Epoch:   0%|                                                                                                                  | 0/20 [00:00<?, ?it/s]
Len train loader: 21
Len eval loader: 5
Val mae km: 8849.219066948091  | Mean val loss: 3.0536778926849366
0 0 	| 3.1095 	| 0.0625
0 1 	| 3.0793 	| 0.0312
0 2 	| 3.1826 	| 0.0625
0 3 	| 3.209 	| 0.0312
0 4 	| 3.0068 	| 0.0938
0 5 	| 3.1378 	| 0.0625
0 6 	| 3.3756 	| 0.0
0 7 	| 3.3917 	| 0.0
0 8 	| 3.2416 	| 0.0938
0 9 	| 3.5065 	| 0.0
0 10 	| 3.0877 	| 0.0625
0 11 	| 3.363 	| 0.0
0 12 	| 2.9879 	| 0.0625
0 13 	| 3.0887 	| 0.0312
0 14 	| 3.2527 	| 0.0938
0 15 	| 3.2701 	| 0.0312
0 16 	| 3.1465 	| 0.0938
0 17 	| 3.3547 	| 0.0625
0 18 	| 3.2657 	| 0.0

Epoch:   5%|█████▎                                                                                                    | 1/20 [00:40<12:57, 40.92s/it]
0 20 	| 3.2388 	| 0.0625
Val mae km: 9599.680613620436  | Mean val loss: 3.0689110279083254
1 0 	| 2.9104 	| 0.0625
1 1 	| 3.0598 	| 0.0938
1 2 	| 2.958 	| 0.125
1 3 	| 3.1081 	| 0.0
1 4 	| 2.9911 	| 0.125
1 5 	| 2.9301 	| 0.0312
1 6 	| 2.9457 	| 0.0938
1 7 	| 3.0422 	| 0.0938
1 8 	| 2.8295 	| 0.0312
1 9 	| 2.9741 	| 0.0
1 10 	| 2.8329 	| 0.0938
1 11 	| 2.8816 	| 0.125
1 12 	| 2.8756 	| 0.0312
1 13 	| 2.9971 	| 0.0
1 14 	| 2.9149 	| 0.0938
1 15 	| 2.9345 	| 0.0625
1 16 	| 3.0856 	| 0.0625
1 17 	| 2.9901 	| 0.0
1 18 	| 3.0206 	| 0.0938

Epoch:  10%|██████████▌                                                                                               | 2/20 [01:21<12:14, 40.80s/it]
1 20 	| 2.7251 	| 0.1562
Val mae km: 8591.088602995294  | Mean val loss: 3.095002222061157
2 0 	| 2.9018 	| 0.0312
2 1 	| 2.8594 	| 0.0938
2 2 	| 2.5161 	| 0.2188
2 3 	| 2.8364 	| 0.0938
2 4 	| 2.7672 	| 0.0625
2 5 	| 3.0144 	| 0.0312
2 6 	| 3.1586 	| 0.0312
2 7 	| 3.0434 	| 0.0
2 8 	| 2.9109 	| 0.0938
2 9 	| 2.7316 	| 0.2188
2 10 	| 3.0034 	| 0.0
2 11 	| 2.9817 	| 0.2188
2 12 	| 2.6519 	| 0.125
2 13 	| 3.1923 	| 0.0312
2 14 	| 2.6818 	| 0.1562
2 15 	| 2.995 	| 0.125
2 16 	| 2.7123 	| 0.0938
2 17 	| 3.3681 	| 0.0625
2 18 	| 3.0815 	| 0.0

Epoch:  15%|███████████████▉                                                                                          | 3/20 [02:02<11:34, 40.88s/it]
2 20 	| 3.004 	| 0.0312
Val mae km: 9762.727310837727  | Mean val loss: 3.2533086776733398
3 0 	| 2.5364 	| 0.1875
3 1 	| 2.6817 	| 0.0625
3 2 	| 2.7454 	| 0.1875
3 3 	| 2.7726 	| 0.0312
3 4 	| 2.8838 	| 0.0625
3 5 	| 2.5091 	| 0.2188
3 6 	| 2.8595 	| 0.0938
3 7 	| 2.9965 	| 0.0938
3 8 	| 2.516 	| 0.3125
3 9 	| 2.4828 	| 0.1875
3 10 	| 2.9004 	| 0.0625
3 11 	| 2.6418 	| 0.1875
3 12 	| 2.7723 	| 0.0938
3 13 	| 3.0379 	| 0.0938
3 14 	| 2.8246 	| 0.0938
3 15 	| 2.5933 	| 0.125
3 16 	| 2.6932 	| 0.125
3 17 	| 2.9888 	| 0.0625
